,summary,config,name
0,"{'_step': 92, '_runtime': 652.6813142299652, 'test loss': 0.5246665709548526, '_timestamp': 1713062983.690323, 'learning_rate': 0.0002, 'training loss': 0.9346417852810452, 'Fold 0 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '45bee40ee5d4b5ce581ec45bc4039b69027f9f0de13efb96e0bfd465027198fe', 'path': 'media/images/Fold 0 Loss Curves_90_45bee40ee5d4b5ce581e.png', 'size': 49597}, 'gap': -0.01175421145227218}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 10, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_v32
1,"{'Fold 6 Loss Curves': {'height': 500, 'sha256': '8655efd3d4499e3ceffdd510e0577d7bab4124220b984fe9ee380e1aa388f5d8', 'path': 'media/images/Fold 6 Loss Curves_657_8655efd3d4499e3ceffd.png', 'size': 46083, '_type': 'image-file', 'width': 2000, 'format': 'png'}, 'Fold 9 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '8857fb67c801270a751a7cb690031441b4f12988f97a30f85b7fbe925d87ccc9', 'path': 'media/images/Fold 9 Loss Curves_915_8857fb67c801270a751a.png', 'size': 54468}, '_step': 918, '_timestamp': 1713062098.798855, 'Fold 0 Loss Curves': {'size': 49260, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'ff83eed4f69fbf143ed787940bb273949782bb414e061a37f7759ff1f7d38ebf', 'path': 'media/images/Fold 0 Loss Curves_93_ff83eed4f69fbf143ed7.png'}, 'learning_rate': 1.2800000000000005e-05, 'training loss': 0.30693634008539133, 'model test loss': 0.3525723063283496, 'model training loss': 0.3601582931808572, 'gap': -0.005362004983699209, '_runtime': 21220.206169128414, 'test loss': 0.31229834506909054, 'Fold 8 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': '23404124cb6a20e8d9cf9faa08b28af02f0500eb0f659fca70b3b8a059f5d8b6', 'path': 'media/images/Fold 8 Loss Curves_845_23404124cb6a20e8d9cf.png', 'size': 43148, '_type': 'image-file'}, '_wandb': {'runtime': 21219}, 'Fold 3 Loss Curves': {'size': 45038, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'dbe78d66e33635e7b79d8e9af6b34acd2cd6295d174f5928a04a5dc2b61c33a4', 'path': 'media/images/Fold 3 Loss Curves_375_dbe78d66e33635e7b79d.png'}, 'Fold 4 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '244273e7f5aedc9f88f74d34a49cfae2a2d0625e2811082380f929f9f167cbe7', 'path': 'media/images/Fold 4 Loss Curves_469_244273e7f5aedc9f88f7.png', 'size': 44595, '_type': 'image-file', 'width': 2000}, 'Fold 5 Loss Curves': {'path': 'media/images/Fold 5 Loss Curves_563_d2c3b2c01ca1e68c89d1.png', 'size': 44141, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'd2c3b2c01ca1e68c89d14c0d2c766425afc27873f9ac2d484af4f660a01cb1df'}, 'Fold 7 Loss Curves': {'size': 45151, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'acec5d49949565b9b1f90c50f0bdf7ce9a95450e97bd7aff4cfe9d7dfe6454fd', 'path': 'media/images/Fold 7 Loss Curves_751_acec5d49949565b9b1f9.png'}, 'model gap': 0.0075859868525075536, 'Fold 1 Loss Curves': {'format': 'png', 'height': 500, 'sha256': 'e96c30ba38df2e7dd3f62c99e636713b08e26a1766c06c50f7e25ae2dbf0131e', 'path': 'media/images/Fold 1 Loss Curves_187_e96c30ba38df2e7dd3f6.png', 'size': 46266, '_type': 'image-file', 'width': 2000}, 'Fold 2 Loss Curves': {'size': 47075, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'bacdf4f87db382cfc68254d0639c97d8300aca76964a50fe1741222c3876394c', 'path': 'media/images/Fold 2 Loss Curves_281_bacdf4f87db382cfc682.png'}}","{'epochs': 31, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 10, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm 9 layers
2,"{'training loss': 0.33813206637385246, 'model test loss': 0.3523436642355389, 'Fold 8 Loss Curves': {'sha256': 'd8a3b31ffc15e9c3356e85cab55f421e3946e63087b6f3c56361a80df52c9c03', 'path': 'media/images/Fold 8 Loss Curves_818_d8a3b31ffc15e9c3356e.png', 'size': 48073, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'gap': -0.030807258839579858, '_step': 879, 'test loss': 0.3689393252134323, 'learning_rate': 1.2800000000000005e-05, '_wandb': {'runtime': 19622}, '_runtime': 19623.16736507416, 'model training loss': 0.3585994400085588, '_timestamp': 1713025204.2353652, 'Fold 2 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '8de80861e04bdbb0555cb8e3c35beee4e8219eadbbd65cad70176df130de7764', 'path': 'media/images/Fold 2 Loss Curves_272_8de80861e04bdbb0555c.png', 'size': 49310}, 'Fold 3 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'a42d8679b75c0c3490f01ec7e698325e5d144de21f250fa62f3994f9e37522a5', 'path': 'media/images/Fold 3 Loss Curves_363_a42d8679b75c0c3490f0.png', 'size': 45557, '_type': 'image-file'}, 'Fold 7 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'fc9e5e8f7b733700ddf0afd873a0bca6b8def64fc63a34c164c9abe58b2bb539', 'path': 'media/images/Fold 7 Loss Curves_727_fc9e5e8f7b733700ddf0.png', 'size': 46459}, 'Fold 5 Loss Curves': {'sha256': '472c939052299f546a740c1c61946f7700a47fe669eed09a946a4f053469cc36', 'path': 'media/images/Fold 5 Loss Curves_545_472c939052299f546a74.png', 'size': 44952, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'Fold 6 Loss Curves': {'path': 'media/images/Fold 6 Loss Curves_636_ac2d0d4c1665c27d616c.png', 'size': 48135, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'ac2d0d4c1665c27d616c188e98b971c8cdf2a8651d03fea4b82fd0870b8f4a88'}, 'Fold 9 Loss Curves': {'sha256': '72072ffc650574973ee0406ceea83d39b6b4fb2b76a89f70bc7d72d5897a51a6', 'path': 'media/images/Fold 9 Loss Curves_876_72072ffc650574973ee0.png', 'size': 62486, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'model gap': 0.006255775773019889, 'Fold 0 Loss Curves': {'path': 'media/images/Fold 0 Loss Curves_90_7f68e820c55f88a8ae24.png', 'size': 48832, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '7f68e820c55f88a8ae24d59dca5f0dc853fbfddf4431229ecbf57515f6e1bdc6'}, 'Fold 1 Loss Curves': {'size': 48034, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '255209236cddb046afbbb172c6f5fa347e2a09edff5876dd2007bc944e6b680c', 'path': 'media/images/Fold 1 Loss Curves_181_255209236cddb046afbb.png'}, 'Fold 4 Loss Curves': {'sha256': 'b67ed7ae666104adc1c2e69470c30eb563cc46ec8dd058e37b3c1d9b9f6e47ab', 'path': 'media/images/Fold 4 Loss Curves_454_b67ed7ae666104adc1c2.png', 'size': 44082, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}}","{'epochs': 30, 'dropout': 0.25, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 9, 'weight_decay': 2e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_v31
3,{'_wandb': {'runtime': 0}},"{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 8, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm with attention_v2
4,{'_wandb': {'runtime': 0}},"{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 8, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm with attention_v2
5,"{'Fold 0 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': '0ddfef256a33de302829fe607b47a80493bd07069e70a54d38d16354385fbb1a', 'path': 'media/images/Fold 0 Loss Curves_39_0ddfef256a33de302829.png', 'size': 42970, '_type': 'image-file'}, 'gap': 0.007423871566378915, '_step': 111, '_runtime': 1062.933645248413, 'test loss': 0.7678899400764041, '_timestamp': 1712991162.7191792, 'learning_rate': 5.120000000000002e-06, 'training loss': 0.775313811642783}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 8, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm with attention_v2
6,"{'_runtime': 19653.82289814949, 'Fold 4 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '6833f7c39b2143175dba32cc34088294899cecc2bfcec7b11a6e0effdc10266b', 'path': 'media/images/Fold 4 Loss Curves_454_6833f7c39b2143175dba.png', 'size': 46737, '_type': 'image-file', 'width': 2000}, 'Fold 9 Loss Curves': {'path': 'media/images/Fold 9 Loss Curves_876_f56584c205f94722f781.png', 'size': 51004, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'f56584c205f94722f7812f56853cc59ad777195da5a0c06173341e1af8c8240c'}, 'model training loss': 0.3390265979274129, '_step': 879, 'Fold 7 Loss Curves': {'format': 'png', 'height': 500, 'sha256': 'd00b89fef7ff7a1d06575384edb89f71095527c1c97a15cc0ebfbedcf1c7fd77', 'path': 'media/images/Fold 7 Loss Curves_724_d00b89fef7ff7a1d0657.png', 'size': 46982, '_type': 'image-file', 'width': 2000}, 'gap': -0.0046893036513949715, '_wandb': {'runtime': 19653}, 'model test loss': 0.3288679422603713, 'Fold 0 Loss Curves': {'height': 500, 'sha256': '901b9b7711aea5cf58f41154eea92d2e10498c3f8f695e9d30c0ed8c25253b27', 'path': 'media/images/Fold 0 Loss Curves_90_901b9b7711aea5cf58f4.png', 'size': 48774, '_type': 'image-file', 'width': 2000, 'format': 'png'}, 'Fold 2 Loss Curves': {'path': 'media/images/Fold 2 Loss Curves_272_96ea43fb60814c11c1ea.png', 'size': 47323, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '96ea43fb60814c11c1ea62265e143cadc136b62d5c1d9875f350915db2e5f608'}, 'Fold 8 Loss Curves': {'path': 'media/images/Fold 8 Loss Curves_815_5beef9ee86d292617a84.png', 'size': 45487, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '5beef9ee86d292617a84cbdef3d4fa8df329ffadba5c05d6b888a4fd25066610'}, 'Fold 3 Loss Curves': {'height': 500, 'sha256': '3f95fb60c8cfba08d266072f4bd422a9bacbae8948ac7636f8df27b8b0f1ea97', 'path': 'media/images/Fold 3 Loss Curves_363_3f95fb60c8cfba08d266.png', 'size': 44667, '_type': 'image-file', 'width': 2000, 'format': 'png'}, 'Fold 5 Loss Curves': {'height': 500, 'sha256': '4e5de49583de18b60d4f0565d317ce2c885dc0c03d4643bc6db8e45a3b4a5415', 'path': 'media/images/Fold 5 Loss Curves_545_4e5de49583de18b60d4f.png', 'size': 44205, '_type': 'image-file', 'width': 2000, 'format': 'png'}, 'model gap': 0.010158655667041603, 'test loss': 0.327180372344123, '_timestamp': 1713005277.9703505, 'learning_rate': 1.2800000000000005e-05, 'training loss': 0.32249106869272803, 'Fold 1 Loss Curves': {'size': 47919, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'ac0b2efdea534735638ae6a5b631aa68ec74d226814b51f1a199b420f5d7a73e', 'path': 'media/images/Fold 1 Loss Curves_181_ac0b2efdea534735638a.png'}, 'Fold 6 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '07dcd5c89d9d55c800b33944161a59375c31954f4f26c92811b5958fe920b17d', 'path': 'media/images/Fold 6 Loss Curves_633_07dcd5c89d9d55c800b3.png', 'size': 46232}}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 8, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_8_layers
7,"{'model training loss': 0.33094671485961563, '_timestamp': 1712978463.8862133, 'training loss': 0.28013257639504024, 'model test loss': 0.32549312512079875, 'Fold 1 Loss Curves': {'path': 'media/images/Fold 1 Loss Curves_181_f40df18581b874059195.png', 'size': 49335, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'f40df18581b8740591956fd1a1c23314bda28017479c3e65906ad6c1e958c341'}, 'Fold 9 Loss Curves': {'format': 'png', 'height': 500, 'sha256': 'bc71b9810c2ab848f79d7bd41e7e1858d83607967acf4ca8b8fb5590136b194d', 'path': 'media/images/Fold 9 Loss Curves_909_bc71b9810c2ab848f79d.png', 'size': 47328, '_type': 'image-file', 'width': 2000}, 'model gap': 0.0054535897388168775, '_runtime': 20167.443955421448, 'test loss': 0.29211125357283485, 'learning_rate': 2.048000000000001e-06, 'Fold 2 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': '7eb02f741209b58d6f2b76b139d2a34b7f878151ecbb2aed1cb89db903de2db1', 'path': 'media/images/Fold 2 Loss Curves_272_7eb02f741209b58d6f2b.png', 'size': 45868, '_type': 'image-file'}, 'Fold 3 Loss Curves': {'size': 46154, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '25897d4dc52e09b4aa9b650605aaa1e26b24a3ff24ccd830b637a7cf885f812a', 'path': 'media/images/Fold 3 Loss Curves_363_25897d4dc52e09b4aa9b.png'}, 'Fold 7 Loss Curves': {'height': 500, 'sha256': '7e894f1452ed9646a874ec58a001d8bb1d1caeb0664bb70b4d82cd45aef516fd', 'path': 'media/images/Fold 7 Loss Curves_727_7e894f1452ed9646a874.png', 'size': 42995, '_type': 'image-file', 'width': 2000, 'format': 'png'}, 'Fold 8 Loss Curves': {'sha256': '12ea443cd222fad21db7bf7ec0294129ce7cc07665aeb8816ec9ff3023273725', 'path': 'media/images/Fold 8 Loss Curves_818_12ea443cd222fad21db7.png', 'size': 45310, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'gap': -0.011978677177794606, '_wandb': {'runtime': 20166}, 'Fold 0 Loss Curves': {'path': 'media/images/Fold 0 Loss Curves_90_a2421b7c9c055404135a.png', 'size': 47730, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'a2421b7c9c055404135a5d6c3ac1e0fa0bc73c1a03eaf039ddcd193df20fa5b5'}, 'Fold 4 Loss Curves': {'size': 44516, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '911fbb0ea58b6a3284f3cbfc2b9db1926ae92f8ebfc7f4b81c61486ae8a3f0bd', 'path': 'media/images/Fold 4 Loss Curves_454_911fbb0ea58b6a3284f3.png'}, 'Fold 5 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '0708bdefb9047e73be544f5362df8a94eb475d34e62b06b9f022269b441d90fd', 'path': 'media/images/Fold 5 Loss Curves_545_0708bdefb9047e73be54.png', 'size': 44296, '_type': 'image-file', 'width': 2000}, 'Fold 6 Loss Curves': {'size': 45407, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '6c0de77b57493e41ae0bc0fd969e219cb79b739f75839cdb946eef2aca08dde1', 'path': 'media/images/Fold 6 Loss Curves_636_6c0de77b57493e41ae0b.png'}, '_step': 912}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 7, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_7_layers
8,"{'Fold 4 Loss Curves': {'format': 'png', 'height': 500, 'sha256': 'cd88a77ce5b0df14b14e3b01c4bf01eb19513a8b20013847ccef1b741988ad8d', 'path': 'media/images/Fold 4 Loss Curves_448_cd88a77ce5b0df14b14e.png', 'size': 44702, '_type': 'image-file', 'width': 2000}, 'Fold 8 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '060c5adbe06a186c54bd7df2f8b49cfff0cd3699bab96513a90641eb85f4c51f', 'path': 'media/images/Fold 8 Loss Curves_812_060c5adbe06a186c54bd.png', 'size': 44655}, 'model training loss': 0.34173007208628337, '_runtime': 19511.670436143875, '_timestamp': 1712944303.324032, 'model test loss': 0.3367331219216188, 'Fold 0 Loss Curves': {'path': 'media/images/Fold 0 Loss Curves_90_a27449e645fabe867c88.png', 'size': 48235, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'a27449e645fabe867c88d76685984dc5fedb1087c44c0226ee59954aaca82068'}, 'Fold 1 Loss Curves': {'size': 45223, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'ad490d6328284a75b195aa79ae87ef72915651effe791d062f52a024da5ad249', 'path': 'media/images/Fold 1 Loss Curves_181_ad490d6328284a75b195.png'}, 'Fold 5 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'b0989105c454c4295924789aea3fc2fb8b9c3297f76cc167c8e4e757f55dddad', 'path': 'media/images/Fold 5 Loss Curves_539_b0989105c454c4295924.png', 'size': 43431, '_type': 'image-file'}, 'gap': -0.010970432839402744, '_step': 906, 'Fold 6 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '31cbca1b24adcee7e7d4fa8280f0fae9981e55af65af939f84c5a11a26dadbcc', 'path': 'media/images/Fold 6 Loss Curves_630_31cbca1b24adcee7e7d4.png', 'size': 46103, '_type': 'image-file', 'width': 2000}, 'Fold 7 Loss Curves': {'sha256': '742c9cce190acc9a3f7ccf11980679a02ef309893111885575f79b542ef29c7d', 'path': 'media/images/Fold 7 Loss Curves_721_742c9cce190acc9a3f7c.png', 'size': 43972, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'Fold 9 Loss Curves': {'sha256': 'b87691c0b3c7eeef5edd91934955db0b5d5a2b69bc0e3fa25904b8cf467e9ca0', 'path': 'media/images/Fold 9 Loss Curves_903_b87691c0b3c7eeef5edd.png', 'size': 46537, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'learning_rate': 2.048000000000001e-06, 'Fold 3 Loss Curves': {'path': 'media/images/Fold 3 Loss Curves_357_d44d23f59a317af748d4.png', 'size': 44143, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'd44d23f59a317af748d4ca7cfaef06bc54cbc6535fe251c0cd531d9fce87377d'}, 'test loss': 0.2904198376668824, 'training loss': 0.27944940482747965, 'Fold 2 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'ffae2e979a9d329329ec5f8ae1bdd86c49874cd013b833cd6e5e6a2833287e8a', 'path': 'media/images/Fold 2 Loss Curves_266_ffae2e979a9d329329ec.png', 'size': 46745}, '_wandb': {'runtime': 19510}, 'model gap': 0.00499695016466456}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 6, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_6_layers
9,"{'gap': -0.010447906380183836, '_wandb': {'runtime': 18842}, 'test loss': 0.31750456906027263, '_timestamp': 1712924755.8145638, 'Fold 4 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'f6900bcfa6b0fbf0206fb9fa03d67af9ec58d959011e0eb2c8704f68da0a39b4', 'path': 'media/images/Fold 4 Loss Curves_421_f6900bcfa6b0fbf0206f.png', 'size': 42960, '_type': 'image-file'}, 'learning_rate': 2.048000000000001e-06, 'model test loss': 0.3360279087391165, 'Fold 3 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '59cf527e356a4967418e554ddb2e304a16e48d07d5d6e5d46967d48ffb6d2d17', 'path': 'media/images/Fold 3 Loss Curves_330_59cf527e356a4967418e.png', 'size': 42858}, 'Fold 5 Loss Curves': {'path': 'media/images/Fold 5 Loss Curves_512_9403892afde9c56cd151.png', 'size': 45325, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': '9403892afde9c56cd1514b012532502b585c35e72932289ec9dd0f99d946060b'}, 'Fold 8 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '69f543d1049de64eb9af1c35199074647e58b81e3753eaab095833b0758a83ae', 'path': 'media/images/Fold 8 Loss Curves_785_69f543d1049de64eb9af.png', 'size': 43201, '_type': 'image-file', 'width': 2000}, 'model training loss': 0.34861198954545014, '_step': 879, 'training loss': 0.3070566626800888, 'Fold 1 Loss Curves': {'_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'fe79b948176f56bcfba09aa9d1763e40375bde3e310853de4bc17c013d14b1cd', 'path': 'media/images/Fold 1 Loss Curves_181_fe79b948176f56bcfba0.png', 'size': 47095}, 'Fold 6 Loss Curves': {'width': 2000, 'format': 'png', 'height': 500, 'sha256': '2522e5f258b856ac08eeff13acac1e2a87b4c6961f316c7b9917fd05f78d83a9', 'path': 'media/images/Fold 6 Loss Curves_603_2522e5f258b856ac08ee.png', 'size': 44022, '_type': 'image-file'}, '_runtime': 18843.520040750504, 'model gap': 0.012584080806333664, 'Fold 0 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '9e961eeffc5ddadb39f338eff0953a86aea01e9122b4cd43f9c4310643f05209', 'path': 'media/images/Fold 0 Loss Curves_90_9e961eeffc5ddadb39f3.png', 'size': 46303, '_type': 'image-file', 'width': 2000}, 'Fold 2 Loss Curves': {'sha256': 'bc64d9a94350c7f8649327741df47ed6847a7c185ff6c34dc247b5118786c153', 'path': 'media/images/Fold 2 Loss Curves_245_bc64d9a94350c7f86493.png', 'size': 48215, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500}, 'Fold 7 Loss Curves': {'format': 'png', 'height': 500, 'sha256': '3ff755fe62acc6e3bde3913ebbb7249447322d22d902d84e933966591f97a5f9', 'path': 'media/images/Fold 7 Loss Curves_694_3ff755fe62acc6e3bde3.png', 'size': 47682, '_type': 'image-file', 'width': 2000}, 'Fold 9 Loss Curves': {'size': 48389, '_type': 'image-file', 'width': 2000, 'format': 'png', 'height': 500, 'sha256': 'c136e3e9210aa20fd228c36d64a1a8805e32e2c9a5edf9678ce51c5544cb0b5d', 'path': 'media/images/Fold 9 Loss Curves_876_c136e3e9210aa20fd228.png'}}","{'epochs': 30, 'dropout': 0.2, 'n_folds': 10, 'lrs_gamma': 0.4, 'batch_size': 1024, 'n_features': 33, 'num_layers': 5, 'weight_decay': 1e-05, 'hidden layers': 50, 'learning_rate': 0.0002, 'lrs_step_size': 6, 'sequence_length': 336}",lstm_v28
